# space
0 3 9 16
# !
1 3 9 16
# "
2 3 9 16
# #
3 3 9 16
# $
4 3 9 16
# %
5 3 9 16
# &
6 3 9 16
# '
7 3 9 16
# (
8 3 9 16
# )
9 3 9 16
# *
10 3 9 16
# +
11 3 9 16
# ,
12 3 9 16
# -
13 3 9 16
# .
14 3 9 16
# /
15 3 9 16
# 0
0 0 9 16
# 1
1 0 9 16
# 2
2 0 9 16
# 3
3 0 9 16
# 4
4 0 9 16
# 5
5 0 9 16
# 6
6 0 9 16
# 7
7 0 9 16
# 8
8 0 9 16
# 9
9 0 9 16
# :
16 3 9 16
# ;
17 3 9 16
# <
18 3 9 16
# =
19 3 9 16
# >
20 3 9 16
# ?
21 3 9 16
# @
22 3 9 16
# A
0 2 9 16
# B
1 2 9 16
# C
2 2 9 16
# D
3 2 9 16
# E
4 2 9 16
# F
5 2 9 16
# G
6 2 9 16
# H
7 2 9 16
# I
8 2 9 16
# J
9 2 9 16
# K
10 2 9 16
# L
11 2 9 16
# M
12 2 9 16
# N
13 2 9 16
# O
14 2 9 16
# P
15 2 9 16
# Q
16 2 9 16
# R
17 2 9 16
# S
18 2 9 16
# T
19 2 9 16
# U
20 2 9 16
# V
21 2 9 16
# W
22 2 9 16
# X
23 2 9 16
# Y
24 2 9 16
# Z
25 2 9 16
# [
23 3 9 16
# \
24 3 9 16
# ]
25 3 9 16
# ^
26 3 9 16
# _
27 3 9 16
# `
28 3 9 16
# a
0 1 9 16
# b
1 1 9 16
# c
2 1 9 16
# d
3 1 9 16
# e
4 1 9 16
# f
5 1 9 16
# g
6 1 9 16
# h
7 1 9 16
# i
8 1 9 16
# j
9 1 9 16
# k
10 1 9 16
# l
11 1 9 16
# m
12 1 9 16
# n
13 1 9 16
# o
14 1 9 16
# p
15 1 9 16
# q
16 1 9 16
# r
17 1 9 16
# s
18 1 9 16
# t
19 1 9 16
# u
20 1 9 16
# v
21 1 9 16
# w
22 1 9 16
# x
23 1 9 16
# y
24 1 9 16
# z
25 1 9 16
# {
29 3 9 16
# |
30 3 9 16
# }
31 3 9 16
# ~
32 3 9 16
